rownum,id,author,author-aux,author-orcid,booktitle,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,key,mdate,month,note,note-type,number,pages,publtype,sub,sup,title,title-bibtex,tt,url,volume,year,reviewers,chair,conference_keywords,conference_type,supervisor,paper_keywords,decison_reviewer_0,review_reviewer_0,decison_reviewer_1,review_reviewer_1,paper_type,proceedings_keywords
555,226805,David Buchman|David Poole 0001|Mark Schmidt 0001|Nando de Freitas|Shakir Mohamed,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/buchman12.html,oa,,journals/jmlr/BuchmanSMPF12,2020-04-23,,,,,173-181,,,,"On Sparse, Spectral and Other Parameterizations of Binary Probabilistic Models.",,,db/journals/jmlr/jmlrp22.html#BuchmanSMPF12,,2012,Jochen Dörre|Birgit Wendholt,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Machine learning|Computer vision|Information theory,accept,Aliquam amet labore sed.,reject,Dolorem velit amet porro numquam quisquam numquam.,Full Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
556,226810,Michael H. Bowling|Michael Johanson,,,AISTATS,,,,conf/aistats/2009,,,http://proceedings.mlr.press/v5/johanson09a.html,oa,,journals/jmlr/JohansonB09,2019-05-29,,,,,264-271,,,,Data Biased Robust Counter Strategies.,,,db/journals/jmlr/jmlrp5.html#JohansonB09,,2009,Gwendolynne Reid|Meisam Asadi,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Computational complexity|Cybersecurity|Computer vision,reject,Voluptatem ipsum aliquam etincidunt etincidunt consectetur quaerat modi.,accept,Adipisci est non numquam labore dolorem ipsum neque.,Full Paper,Robotics|Human-computer interaction|Natural language processing|Quantum computing|Big data
557,226821,Cristian Sminchisescu|Liefeng Bo,,,AISTATS,,,,conf/aistats/2009,,,http://proceedings.mlr.press/v5/bo09a.html,oa,,journals/jmlr/BoS09,2019-05-29,,,,,33-40,,,,Supervised Spectral Latent Variable Models.,,,db/journals/jmlr/jmlrp5.html#BoS09,,2009,Charles Verharen|Daniel Andrés La Rotta Forero,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Robotics,accept,Est quisquam sed etincidunt sit amet.,reject,Sit voluptatem modi voluptatem eius sit labore.,Poster,Robotics|Human-computer interaction|Natural language processing|Quantum computing|Big data
558,226823,Matt Taddy,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/taddy12.html,oa,,journals/jmlr/Taddy12,2019-05-29,,,,,1184-1193,,,,On Estimation and Selection for Topic Models.,,,db/journals/jmlr/jmlrp22.html#Taddy12,,2012,Mariarosaria Taddeo|Lisa H. Newton,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Information theory,reject,Labore eius voluptatem adipisci consectetur.,reject,Quaerat non sit adipisci.,Short Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
559,226825,Nicolò Cesa-Bianchi|Sham M. Kakade|Sébastien Bubeck,,,COLT,,,,conf/colt/2012,,,http://proceedings.mlr.press/v23/bubeck12a/bubeck12a.pdf,oa,,journals/jmlr/BubeckCK12,2019-05-29,,,,,41.1-41.14,,,,Towards Minimax Policies for Online Linear Optimization with Bandit Feedback.,,,db/journals/jmlr/jmlrp23.html#BubeckCK12,,2012,Janice M. Ballou|Christoph W. Keßler,Jean-Yves Audibert|Michelle Pham|Michael Fink 0002|Verónica Romero 0001|Zsolt Minier,Computer graphics|Artificial intelligence|Machine learning,Expert Group,Zsolt Minier,Natural language processing|Big data,reject,Eius consectetur dolorem voluptatem porro neque sed modi.,accept,Neque aliquam modi est numquam non sit numquam.,Demo Paper,Information theory|Cloud computing|Cybersecurity|Cryptography|Artificial intelligence
560,226834,Alexander Ihler|James R. Foulds|Nicholas Navaroli|Padhraic Smyth,,,AISTATS,,,,conf/aistats/2011,,,http://proceedings.mlr.press/v15/foulds11a/foulds11a.pdf,oa,,journals/jmlr/FouldsNSI11,2022-12-05,,,,,278-286,,,,"Revisiting MAP Estimation, Message Passing and Perfect Graphs.",,,db/journals/jmlr/jmlrp15.html#FouldsNSI11,,2011,Ning Wang|Savita Lasrado,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Computational complexity|Machine learning,accept,Voluptatem velit quiquia magnam non amet sed neque.,accept,Quiquia numquam sed amet non ut ut neque.,Short Paper,Artificial intelligence|Computer vision|Computer graphics|Distributed computing|Cloud computing
561,226835,Alberto Giovanni Busetto|Joachim M. Buhmann|Morteza Haghir Chehreghani,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/haghir12.html,oa,,journals/jmlr/ChehreghaniBB12,2019-05-29,,,,,495-503,,,,Information Theoretic Model Validation for Spectral Clustering.,,,db/journals/jmlr/jmlrp22.html#ChehreghaniBB12,,2012,Tibor Kiss|Ming Shan,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Robotics,accept,Neque adipisci dolore ipsum tempora est consectetur sed.,reject,Amet porro dolor labore etincidunt neque modi dolor.,Short Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
562,226837,Nizar Bouguila|Wentao Fan,,,ACML,,,,conf/acml/2012,,,http://proceedings.mlr.press/v25/fan12.html,oa,,journals/jmlr/FanB12,2019-05-29,,,,,113-128,,,,Online Learning of a Dirichlet Process Mixture of Generalized Dirichlet Distributions for Simultaneous Clustering and Localized Feature Selection.,,,db/journals/jmlr/jmlrp25.html#FanB12,,2012,Arie Rip|Bruce G. Lindsay 0001,Arnaud Doucet|Yener Ülker|Rong-Bing Chiu,Artificial intelligence|Computer vision|Cryptography,Workshop,Yener Ülker,Machine learning,accept,Ut quiquia amet quaerat eius tempora.,accept,Non modi magnam non magnam.,Poster,Machine learning|Distributed computing|Cloud computing
563,226838,Judea Pearl,,,NIPS Causality: Objectives and Assessment,,,,conf/nips/2008coa,,,http://proceedings.mlr.press/v6/pearl10a.html,oa,,journals/jmlr/Pearl10,2019-05-29,,,,,39-58,,,,Causal Inference.,,,db/journals/jmlr/jmlrp6.html#Pearl10,,2010,Nora Freya Lindemann|Vaman Kulkarni,Pavel Laskov|Ingrid Renz|Edward Lloyd Snelson,Computer graphics|Big data|Artificial intelligence|Distributed computing|Information theory,Workshop,Pavel Laskov,Computer graphics|Cryptography|Machine learning,accept,Sit labore adipisci dolor eius amet.,reject,Velit neque numquam consectetur porro dolore numquam.,Short Paper,Distributed computing|Cybersecurity|Machine learning
564,226839,Jerry Jenkins,,,NIPS Causality: Objectives and Assessment,,,,conf/nips/2008coa,,,http://proceedings.mlr.press/v6/jenkins10a.html,oa,,journals/jmlr/Jenkins10,2019-05-29,,,,,215-224,,,,SIGNET: Boolean Rile Deetermination for Abscisic Acid Signaling.,,,db/journals/jmlr/jmlrp6.html#Jenkins10,,2010,Christian Hervé|Claudia Maienborn,Pavel Laskov|Ingrid Renz|Edward Lloyd Snelson,Computer graphics|Big data|Artificial intelligence|Distributed computing|Information theory,Workshop,Edward Lloyd Snelson,High-performance computing|Cryptography,reject,Dolore etincidunt dolorem consectetur.,reject,Porro aliquam porro numquam quaerat ut non velit.,Short Paper,Distributed computing|Cybersecurity|Machine learning
565,226840,Akiko Takeda|Taiji Suzuki|Takafumi Kanamori,,,COLT,,,,conf/colt/2012,,,http://proceedings.mlr.press/v23/kanamori12/kanamori12.pdf,oa,,journals/jmlr/KanamoriTS12,2019-05-29,,,,,29.1-29.23,,,,A Conjugate Property between Loss Functions and Uncertainty Sets in Classification Problems.,,,db/journals/jmlr/jmlrp23.html#KanamoriTS12,,2012,Bert Gordijn|Michael J. Kuhar,Jean-Yves Audibert|Michelle Pham|Michael Fink 0002|Verónica Romero 0001|Zsolt Minier,Computer graphics|Artificial intelligence|Machine learning,Expert Group,Jean-Yves Audibert,Machine learning|Computer networks|Cryptography,accept,Dolorem magnam magnam adipisci numquam aliquam dolor eius.,reject,Porro dolor ut est labore non non.,Short Paper,Information theory|Cloud computing|Cybersecurity|Cryptography|Artificial intelligence
566,226843,Ayse Erkan|Yasemin Altun,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/erkan10a.html,oa,,journals/jmlr/ErkanA10,2019-05-29,,,,,209-216,,,,Semi-Supervised Learning via Generalized Maximum Entropy.,,,db/journals/jmlr/jmlrp9.html#ErkanA10,,2010,Gianpiero Cabodi|Andrew Sixsmith,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Computer graphics,accept,Magnam labore quisquam sit ipsum neque est amet.,reject,Numquam consectetur tempora ut quisquam consectetur.,Short Paper,Computer vision|Robotics|Cloud computing|Algorithm analysis
567,226844,Andreas Ruttor|Manfred Opper,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/ruttor10a.html,oa,,journals/jmlr/RuttorO10,2019-05-29,,,,,669-676,,,,Approximate parameter inference in a stochastic reaction-diffusion model.,,,db/journals/jmlr/jmlrp9.html#RuttorO10,,2010,Ivana Tadic|David Wright 0003,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,High-performance computing|Robotics,reject,Etincidunt quaerat porro est tempora neque numquam.,reject,Quiquia eius est consectetur non.,Poster,Computer vision|Robotics|Cloud computing|Algorithm analysis
568,226851,Moritz Grosse-Wentrup|Morteza Alamgir|Yasemin Altun,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/alamgir10a.html,oa,,journals/jmlr/AlamgirGA10,2019-05-29,,,,,17-24,,,,Multitask Learning for Brain-Computer Interfaces.,,,db/journals/jmlr/jmlrp9.html#AlamgirGA10,,2010,Ryan Marshall Felder|Ekkehard W. Sachs,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Quantum computing|High-performance computing|Computer networks,accept,Dolorem amet numquam adipisci ut sit.,reject,Etincidunt ipsum etincidunt ut modi.,Full Paper,Computer vision|Robotics|Cloud computing|Algorithm analysis
569,226853,Zhengdong Lu,,,AISTATS,,,,conf/aistats/2007,,,http://proceedings.mlr.press/v2/lu07a.html,oa,,journals/jmlr/Lu07,2019-05-29,,,,,299-306,,,,Semi-supervised Clustering with Pairwise Constraints: A Discriminative Approach.,,,db/journals/jmlr/jmlrp2.html#Lu07,,2007,Conrad Heilmann|Javier Malagón,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Algorithm analysis|Data mining,reject,Quisquam porro adipisci porro.,accept,Numquam porro magnam amet.,Short Paper,Artificial intelligence|Human-computer interaction|Robotics|Information theory|Cybersecurity
570,226854,Dan Stowell|Mark D. Plumbley,,,WAPA,,,,conf/wapa/2010,,,http://proceedings.mlr.press/v11/stowell10a.html,oa,,journals/jmlr/StowellP10,2019-05-29,,,,,28-35,,,,Cross-associating unlabelled timbre distributions to create expressive musical mappings.,,,db/journals/jmlr/jmlrp11.html#StowellP10,,2010,Andrea Owe|Ricardo Neisse,Ryan Rifkin|Cléo Zanella Billa|Dimitri Efrosinin|Yair Weiss|Lawrence Carin,Computer networks|Cybersecurity|Cloud computing|Big data|Computer graphics,Workshop,Yair Weiss,Human-computer interaction,reject,Quaerat velit sit non velit aliquam sit dolore.,accept,Tempora dolor ut magnam neque etincidunt.,Short Paper,Robotics|Computer vision|Artificial intelligence
571,226855,Dunja Mladenic|Tadej Stajner,,,WAPA,,,,conf/wapa/2010,,,http://proceedings.mlr.press/v11/stajner10a.html,oa,,journals/jmlr/StajnerM10,2019-05-29,,,,,127-133,,,,Modeling Knowledge Worker Activity.,,,db/journals/jmlr/jmlrp11.html#StajnerM10,,2010,David J. Kijowski|Vesna Supak-Smolcic,Ryan Rifkin|Cléo Zanella Billa|Dimitri Efrosinin|Yair Weiss|Lawrence Carin,Computer networks|Cybersecurity|Cloud computing|Big data|Computer graphics,Workshop,Cléo Zanella Billa,Cloud computing|Computer networks,accept,Sit modi ut quaerat quiquia.,reject,Amet labore dolor labore modi magnam sed.,Demo Paper,Robotics|Computer vision|Artificial intelligence
572,226864,Ilya Sutskever|James Martens,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/martens10a.html,oa,,journals/jmlr/MartensS10,2019-05-29,,,,,517-524,,,,Parallelizable Sampling of Markov Random Fields.,,,db/journals/jmlr/jmlrp9.html#MartensS10,,2010,Gerd Hoff|Jessica Morley,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Deep learning|Machine learning|Information theory,accept,Dolorem eius amet porro est.,reject,Neque adipisci non consectetur quaerat tempora ipsum.,Short Paper,Computer vision|Robotics|Cloud computing|Algorithm analysis
573,226865,Justin Thaler|Li-Yang Tan|Rocco A. Servedio,,,COLT,,,,conf/colt/2012,,,http://proceedings.mlr.press/v23/servedio12/servedio12.pdf,oa,,journals/jmlr/ServedioTT12,2019-05-29,,,,,14.1-14.19,,,,Attribute-Efficient Learning and Weight-Degree Tradeoffs for Polynomial Threshold Functions.,,,db/journals/jmlr/jmlrp23.html#ServedioTT12,,2012,M. A. Osipova|Zubin Master,Jean-Yves Audibert|Michelle Pham|Michael Fink 0002|Verónica Romero 0001|Zsolt Minier,Computer graphics|Artificial intelligence|Machine learning,Expert Group,Verónica Romero 0001,Artificial intelligence|Computer graphics,reject,Adipisci non ut dolore numquam.,accept,Eius voluptatem labore ut.,Demo Paper,Information theory|Cloud computing|Cybersecurity|Cryptography|Artificial intelligence
574,226866,Nello Cristianini|Roberto Franzosi|Saatviga Sudhahar,,,WAPA,,,,conf/wapa/2011,,,http://proceedings.mlr.press/v17/sudhahar11a/sudhahar11a.pdf,oa,,journals/jmlr/SudhaharFC11,2019-05-29,,,,,63-71,,,,Automating Quantitative Narrative Analysis of News Data.,,,db/journals/jmlr/jmlrp17.html#SudhaharFC11,,2011,Camille Nebeker|Iñigo de Miguel Beriain,Ryan Rifkin|Cléo Zanella Billa|Dimitri Efrosinin|Yair Weiss|Lawrence Carin,Computer networks|Cybersecurity|Cloud computing|Big data|Computer graphics,Workshop,Dimitri Efrosinin,Robotics|Natural language processing,accept,Eius consectetur etincidunt aliquam dolor voluptatem magnam porro.,reject,Numquam quisquam sed labore ut voluptatem.,Full Paper,Information theory|Distributed computing|Cybersecurity|Artificial intelligence
575,226867,Kim Steenstrup Pedersen|Marco Loog|Pieter van Dorst,,,Gaussian Processes in Practice,,,,journals/jmlr/2006gpp,,,http://proceedings.mlr.press/v1/pedersen07a,oa,,journals/jmlr/PedersenLD07,2019-05-29,,,,,59-72,,,,Salient Point and Scale Detection by Minimum Likelihood.,,,db/journals/jmlr/jmlrp1.html#PedersenLD07,,2007,Hui Wang|Mohamed Abioui,Wiebke Werft|Shlomo Mark|John Westwater,Natural language processing|Cloud computing|Cybersecurity|Computer vision,Regular,Wiebke Werft,Cybersecurity|Cloud computing|Information theory,accept,Porro sed tempora amet aliquam modi consectetur.,reject,Sit amet ut voluptatem.,Short Paper,Cryptography|High-performance computing|Deep learning|Artificial intelligence
576,226868,Andreas Töscher|Michael Jahrer,,,KDD Cup,,,,conf/kdd/2011kddcup,,,http://proceedings.mlr.press/v18/jahrer12a.html,oa,,journals/jmlr/JahrerT12,2019-05-29,,,,,61-74,,,,Collaborative Filtering Ensemble.,,,db/journals/jmlr/jmlrp18.html#JahrerT12,,2012,Tibor Kiss|Siome Goldenstein,David Duvenaud|M. Böhm|Leen B. Fino|François Savard,High-performance computing|Quantum computing|Big data|Machine learning,Symposium,M. Böhm,Cloud computing,reject,Dolorem dolor dolore sit tempora etincidunt neque quisquam.,accept,Numquam magnam sed quiquia etincidunt amet ipsum adipisci.,Full Paper,Cloud computing|Cryptography|Quantum computing|Deep learning|Robotics
577,226874,Katherine A. Heller|Zoubin Ghahramani,,,AISTATS,,,,conf/aistats/2007,,,http://proceedings.mlr.press/v2/heller07a.html,oa,,journals/jmlr/HellerG07,2019-05-29,,,,,187-194,,,,A Nonparametric Bayesian Approach to Modeling Overlapping Clusters.,,,db/journals/jmlr/jmlrp2.html#HellerG07,,2007,Jutta Kreiß|Enrica Marchigiani,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Quantum computing|Robotics|Computational complexity,reject,Velit sit dolorem sit voluptatem.,reject,Numquam dolore tempora aliquam sed quiquia.,Demo Paper,Artificial intelligence|Human-computer interaction|Robotics|Information theory|Cybersecurity
578,226879,Michalis K. Titsias,,,AISTATS,,,,conf/aistats/2009,,,http://proceedings.mlr.press/v5/titsias09a.html,oa,,journals/jmlr/Titsias09,2019-05-29,,,,,567-574,,,,Variational Learning of Inducing Variables in Sparse Gaussian Processes.,,,db/journals/jmlr/jmlrp5.html#Titsias09,,2009,Savita Lasrado|David B. Allison,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Computer vision,accept,Labore est voluptatem sed dolor magnam etincidunt.,reject,Est ipsum quisquam voluptatem.,Short Paper,Robotics|Human-computer interaction|Natural language processing|Quantum computing|Big data
579,226885,Alexander R. Statnikov|Constantin F. Aliferis,,,NIPS Causality: Objectives and Assessment,,,,conf/nips/2008coa,,,http://proceedings.mlr.press/v6/statnikov10a.html,oa,,journals/jmlr/StatnikovA10,2019-05-29,,,,,249-256,,,,TIED: An Artificially Simulated Dataset with Multiple Markov Boundaries.,,,db/journals/jmlr/jmlrp6.html#StatnikovA10,,2010,Erich Gehlen|Birgit Wendholt,Pavel Laskov|Ingrid Renz|Edward Lloyd Snelson,Computer graphics|Big data|Artificial intelligence|Distributed computing|Information theory,Workshop,Ingrid Renz,Computer vision,accept,Magnam voluptatem non labore quaerat.,accept,Adipisci numquam ut magnam quaerat.,Short Paper,Distributed computing|Cybersecurity|Machine learning
580,226888,Daan Fierens|Hendrik Blockeel|Jesse Davis|Nima Taghipour,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/taghipour12.html,oa,,journals/jmlr/TaghipourFDB12,2019-05-29,,,,,1194-1202,,,,Lifted Variable Elimination with Arbitrary Constraints.,,,db/journals/jmlr/jmlrp22.html#TaghipourFDB12,,2012,Mark D. Layson|Frank Manola,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Natural language processing|Algorithm analysis,reject,Porro porro dolore porro tempora sed sit modi.,accept,Dolor etincidunt ut quaerat adipisci tempora.,Short Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
581,226893,Michael L. Littman,,,ICGI,,,,conf/icgi/2012,,,http://proceedings.mlr.press/v21/littman12a.html,oa,,journals/jmlr/Littman12,2019-05-29,,,,,145-148,,,,Inducing Partially Observable Markov Decision Processes.,,,db/journals/jmlr/jmlrp21.html#Littman12,,2012,Mike Kelley|Manfred Grothaus,Tuo Zhao|Andrea Malizia|Tong Zhang 0001,Machine learning|Information theory|Computer graphics|Cybersecurity|Cryptography,Expert Group,Tuo Zhao,Algorithm analysis|Artificial intelligence,reject,Sit velit consectetur voluptatem dolor sed.,accept,Dolorem etincidunt voluptatem numquam.,Poster,Cybersecurity|Cloud computing|Big data|Artificial intelligence
582,226900,Sanjoy Dasgupta,,,COLT,,,,conf/colt/2012,,,http://proceedings.mlr.press/v23/dasgupta12/dasgupta12.pdf,oa,,journals/jmlr/Dasgupta12,2019-05-29,,,,,18.1-18.15,,,,Consistency of Nearest Neighbor Classification under Selective Sampling.,,,db/journals/jmlr/jmlrp23.html#Dasgupta12,,2012,Nikolaus Ott|Snjezana Prijic-Samarzija,Jean-Yves Audibert|Michelle Pham|Michael Fink 0002|Verónica Romero 0001|Zsolt Minier,Computer graphics|Artificial intelligence|Machine learning,Expert Group,Michelle Pham,Computer vision,accept,Quiquia quaerat eius sed voluptatem.,accept,Labore magnam dolor neque.,Demo Paper,Information theory|Cloud computing|Cybersecurity|Cryptography|Artificial intelligence
583,226901,A. Robert Calderbank|Aarti Singh|Robert D. Nowak,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/singh10a.html,oa,,journals/jmlr/SinghNC10,2019-05-29,,,,,749-756,,,,Detecting Weak but Hierarchically-Structured Patterns in Networks.,,,db/journals/jmlr/jmlrp9.html#SinghNC10,,2010,Maarten Botterman|Mohd Salim Mohamed,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Algorithm analysis|Information theory|Data mining,reject,Neque non numquam eius.,accept,Dolore labore est numquam etincidunt modi sit velit.,Full Paper,Computer vision|Robotics|Cloud computing|Algorithm analysis
584,226906,Arto Klami|Samuel Kaski|Seppo Virtanen|Suleiman A. Khan,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/virtanen12.html,oa,,journals/jmlr/VirtanenKKK12,2019-05-29,,,,,1269-1277,,,,Bayesian Group Factor Analysis.,,,db/journals/jmlr/jmlrp22.html#VirtanenKKK12,,2012,Thea Riebe|Meghnaa Tallapragada,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Algorithm analysis|High-performance computing|Computer networks,reject,Eius aliquam sit velit sit sit magnam.,accept,Numquam velit sit ipsum sit eius modi modi.,Poster,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
585,226907,Patrick Pletscher|Pushmeet Kohli,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/pletscher12b.html,oa,,journals/jmlr/PletscherK12,2019-05-29,,,,,886-894,,,,Learning Low-order Models for Enforcing High-order Statistics.,,,db/journals/jmlr/jmlrp22.html#PletscherK12,,2012,Mohd Salim Mohamed|Stefan Gerberding,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Deep learning|Cloud computing,reject,Non neque dolore tempora sit ut.,reject,Aliquam quaerat amet non ipsum.,Full Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
586,226913,Dominik Janzing|Joris M. Mooij,,,NIPS Causality: Objectives and Assessment,,,,conf/nips/2008coa,,,http://proceedings.mlr.press/v6/mooij10a.html,oa,,journals/jmlr/MooijJ10,2019-05-29,,,,,147-156,,,,Distinguishing between cause and effect.,,,db/journals/jmlr/jmlrp6.html#MooijJ10,,2010,Mette Ebbesen|Javier Malagón,Pavel Laskov|Ingrid Renz|Edward Lloyd Snelson,Computer graphics|Big data|Artificial intelligence|Distributed computing|Information theory,Workshop,Pavel Laskov,Deep learning|Computer graphics,reject,Quiquia modi quisquam consectetur ipsum sit dolorem.,reject,Neque ut dolor ipsum etincidunt ipsum quiquia.,Poster,Distributed computing|Cybersecurity|Machine learning
587,226914,David P. Helmbold|Philip M. Long,,,COLT,,,,conf/colt/2012,,,http://proceedings.mlr.press/v23/helmbold12/helmbold12.pdf,oa,,journals/jmlr/HelmboldL12,2019-05-29,,,,,30.1-30.15,,,,New Bounds for Learning Intervals with Implications for Semi-Supervised Learning.,,,db/journals/jmlr/jmlrp23.html#HelmboldL12,,2012,T. Prabhakar Clement|David M. Shaw,Jean-Yves Audibert|Michelle Pham|Michael Fink 0002|Verónica Romero 0001|Zsolt Minier,Computer graphics|Artificial intelligence|Machine learning,Expert Group,Verónica Romero 0001,Computer networks,accept,Quiquia neque adipisci quiquia numquam tempora dolorem.,accept,Consectetur adipisci dolore neque consectetur.,Short Paper,Information theory|Cloud computing|Cybersecurity|Cryptography|Artificial intelligence
588,226922,Ofer Dekel|Ohad Shamir,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/dekel10a.html,oa,,journals/jmlr/DekelS10,2019-05-29,,,,,137-144,,,,Multiclass-Multilabel Classification with More Classes than Examples.,,,db/journals/jmlr/jmlrp9.html#DekelS10,,2010,Jennifer A. Brundage|Bor Luen Tang,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Computer graphics|Artificial intelligence,accept,Numquam neque labore consectetur quiquia non.,accept,Porro sit quaerat non ipsum ipsum.,Poster,Computer vision|Robotics|Cloud computing|Algorithm analysis
589,226926,Dhruv Batra|Pushmeet Kohli|Sebastian Nowozin,,,AISTATS,,,,conf/aistats/2011,,,http://proceedings.mlr.press/v15/batra11a/batra11a.pdf,oa,,journals/jmlr/BatraNK11,2019-05-29,,,,,146-154,,,,Tighter Relaxations for MAP-MRF Inference: A Local Primal-Dual Gap based Separation Algorithm.,,,db/journals/jmlr/jmlrp15.html#BatraNK11,,2011,Tyler J. Mulhearn|nan,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,High-performance computing|Robotics|Deep learning,reject,Est voluptatem est numquam.,accept,Sit quisquam quiquia quiquia labore modi quiquia.,Short Paper,Artificial intelligence|Computer vision|Computer graphics|Distributed computing|Cloud computing
590,226927,Honglak Lee|Min Sun|Murali Telaprolu|Silvio Savarese,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/sun12.html,oa,,journals/jmlr/SunTLS12,2019-05-29,,,,,1134-1142,,,,Efficient and Exact MAP-MRF Inference using Branch and Bound.,,,db/journals/jmlr/jmlrp22.html#SunTLS12,,2012,Adèle Paul-Hus|Christian Stangier,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Computer vision,accept,Sit magnam amet quaerat dolorem ipsum.,accept,Numquam quisquam numquam velit velit.,Poster,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
591,226929,Aapo Hyvärinen,,,ACML,,,,conf/acml/2010,,,http://proceedings.mlr.press/v13/hyvarinen10a.html,oa,,journals/jmlr/Hyvarinen10,2019-05-29,,,,,1-16,,,,Pairwise Measures of Causal Direction in Linear Non-Gaussian Acyclic Models.,,,db/journals/jmlr/jmlrp13.html#Hyvarinen10,,2010,Alexander Hufnagel|Rainer Helmig,Arnaud Doucet|Yener Ülker|Rong-Bing Chiu,Artificial intelligence|Computer vision|Cryptography,Workshop,Yener Ülker,Computational complexity,reject,Magnam sed porro etincidunt.,accept,Etincidunt magnam eius magnam.,Poster,Computer networks|Information theory|High-performance computing|Computer vision
