rownum,id,author,author-aux,author-orcid,booktitle,cdate,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,journal,key,mdate,month,note,note-label,note-type,number,pages,publisher,publnr,publtype,sub,sup,title,title-bibtex,tt,url,volume,year,reviewers,editors,journal_keywords,supervisor,paper_keywords,decison_reviewer_0,review_reviewer_0,decison_reviewer_1,review_reviewer_1,paper_type,volume_keywords
464,466,Dieter Baum,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI99-18,2017-06-08,,,,,,,,,informal,,,On MAPA/G/K/K Stations,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 99-18",1999,Fumihiko Tochinai|Daniel Pallarés-Domínguez,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Deep learning|Robotics|Computer graphics,accept,Quaerat quiquia quaerat dolorem ipsum dolor dolore magnam.,reject,Modi tempora velit adipisci porro sed numquam consectetur.,Short Paper,Quantum computing|Cybersecurity|Distributed computing|Human-computer interaction|Natural language processing
465,467,Lothar Breuer,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI01-14,2017-06-08,,,,,,,,,informal,,,An EM Algorithm for Batch Markovian Arrival Processes and its Comparison to a Simpler Estimation Procedure,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 01-14",2001,Robert S. Arnold|Patricia Ann Mabrouk,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,High-performance computing|Artificial intelligence|Robotics|Distributed computing|Data mining,accept,Labore tempora eius neque amet quisquam labore.,reject,Consectetur modi etincidunt modi amet sit quaerat.,Full Paper,High-performance computing|Computer graphics|Algorithm analysis|Cryptography
466,468,Alexander Kaplan|Rainer Tichatschke,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI97-07,2017-06-08,,,,,,,,,informal,,,Stable Methods for Variational Inequalities with Set Valued Monotone Operators,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 97-07",1997,Gerhard J. Woeginger|Vance W. Berger,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Shiau Hong Lim,Information theory|Algorithm analysis|Artificial intelligence|Data mining|Cryptography,reject,Magnam quaerat neque modi.,reject,Numquam quiquia dolorem quaerat.,Short Paper,Cryptography|Distributed computing|Algorithm analysis|Machine learning
467,469,Martin Mundhenk,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI95-02,2017-06-08,,,,,,,,,informal,,,Monotonous Oracle Machines,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 95-02",1995,E. F. Codd|Juan C. Lucena,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Computer networks|High-performance computing|Deep learning,reject,Velit quiquia quaerat quiquia.,reject,Sit consectetur tempora magnam ut dolorem dolorem est.,Short Paper,Human-computer interaction|Big data|Robotics|Information theory|Computational complexity
468,470,Carsten Damm|Stasys Jukna,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI95-09,2017-06-08,,,,,,,,,informal,,,On Multiparity Games for Pointer Jumping,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 95-09",1995,Bridget M. Noonan|Jeff Collmann,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Shiau Hong Lim,Computer networks|Cryptography|Computer vision|Cybersecurity|Deep learning,accept,Labore porro quiquia modi est dolore non.,accept,Tempora dolore adipisci amet etincidunt est ut.,Full Paper,Computer networks|Distributed computing|Information theory
469,471,Helmut Seidl|Markus Müller-Olm|Varmo Vene,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI02-10,2017-06-08,,,,,,,,,informal,,,Interprocedural Invariants,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 02-10",2002,Mika Suzuki|Saeed Banihashemi,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Distributed computing|Cloud computing|Data mining|Computer networks|Computational complexity,reject,Consectetur quisquam est quisquam numquam consectetur labore.,reject,Porro est velit est.,Demo Paper,Natural language processing|Machine learning|Information theory
470,472,Christoph Meinel|Stephan Waack,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI94-04,2017-06-08,,,,,,,,,informal,,,"The Möbius Function, Variations Ranks, and Theta(n)-Bounds on the Modular Communication Complexity of the Undirected Graph Connectivity Problem",,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 94-04",1994,S. Rotin|Gudrun Klose,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Cryptography|Cloud computing|Human-computer interaction|Computer vision|Computational complexity,reject,Porro magnam quiquia eius.,accept,Velit ut porro quaerat porro ut.,Demo Paper,Machine learning|Quantum computing|High-performance computing|Artificial intelligence
471,473,Klaus Jansen,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI92-12,2017-06-08,,,,,,,,,informal,,,On the Complexity of One Branching Graphs,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 92-12",1992,Stefan Börner|Kai von Luck,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Computer graphics|Information theory|Data mining,reject,Numquam sit tempora est ut consectetur non neque.,accept,Neque etincidunt ut eius.,Full Paper,High-performance computing|Computer graphics|Computer networks
472,474,Christoph Meinel,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI92-05,2017-06-08,,,,,,,,,informal,,,A Note on Möbius Functions and the Communication Complexity of the Graph-Accessability-Problem,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 92-05",1992,Yiyang Gao|Penelope Engel-Hills,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Robotics|Cloud computing|Data mining,accept,Est porro dolorem ut.,reject,Labore magnam neque voluptatem sit etincidunt.,Demo Paper,Cloud computing|High-performance computing|Quantum computing|Cybersecurity
473,475,Christoph Meinel|Feng Cheng 0002|Paul Ferring,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI03-05,2017-06-08,,,,,,,,,informal,,,Lock-Keeper Technology - A New Network Security Solution,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 03-05",2003,René von Schomberg|Armando Segura-Naya,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Shiau Hong Lim,Computer networks|Computer graphics|Machine learning,reject,Quaerat velit ut voluptatem quisquam adipisci labore.,reject,Porro modi aliquam est quiquia.,Short Paper,Natural language processing|Cloud computing|Computer vision|Machine learning|Information theory
474,476,Martin Luckow|Norbert Th. Müller,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI94-15,2017-06-08,,,,,,,,,informal,,,Cascade: A Simple and Efficient Algorithm for Priority Queues,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 94-15",1994,Milenko Rakic|Manjur S. Kolhar,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Human-computer interaction|Computer vision|High-performance computing|Cybersecurity,accept,Dolor quiquia quisquam neque quaerat est non.,accept,Dolore numquam labore dolore adipisci numquam.,Demo Paper,Artificial intelligence|Cryptography|Big data
475,477,Christoph Meinel|Jordan Gergov,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI93-12,2017-06-08,,,,,,,,,informal,,,Efficient Boolean Manipulation with OBDD's can be Extended to FBDD's,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 93-12",1993,M. Reza Hosseini|James P. Collins,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Shiau Hong Lim,Big data|Algorithm analysis|Cybersecurity|Natural language processing,reject,Dolorem magnam dolore labore adipisci voluptatem modi.,accept,Neque dolore sit amet est voluptatem eius ipsum.,Demo Paper,Robotics|Information theory|Computer graphics
476,478,Christoph Meinel|Harald Sack,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI97-15,2017-06-08,,,,,,,,,informal,,,Case Study: Manipulating xor-OBDDs by Means of Signatures,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 97-15",1997,Siegfried Graf 0001|Yang Sui,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Human-computer interaction|Artificial intelligence|Quantum computing|Deep learning,reject,Eius voluptatem dolor velit est quisquam.,accept,Neque est labore porro dolorem.,Short Paper,High-performance computing|Natural language processing|Cybersecurity|Computer networks|Human-computer interaction
477,479,Dirk Frosch-Wilke,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI93-02,2017-06-08,,,,,,,,,informal,,,Exact Analysis of Closed Synchronized Systems of Stochastic Sequential Processes,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 93-02",1993,Ritesh G. Menezes|Jim Gray 0001,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Artificial intelligence|Big data|High-performance computing|Computational complexity,accept,Neque sit tempora est dolor.,accept,Etincidunt sit voluptatem numquam.,Full Paper,Artificial intelligence|Data mining|Natural language processing
478,480,Lothar Breuer,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI00-11,2017-06-08,,,,,,,,,informal,,,Operator-Geometric Solutions for the M/G/k Queue and its Variants,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 00-11",2000,Yang Sui|Barbara K. Redman,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Shiau Hong Lim,Machine learning|Big data|Information theory|Cybersecurity,reject,Neque ipsum quisquam numquam labore voluptatem magnam.,accept,Quaerat quaerat quiquia ipsum dolore dolor tempora sed.,Short Paper,Artificial intelligence|Robotics|Quantum computing
479,481,M. Nast|Nguyen V. Thoai|Reiner Horst,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI94-08,2017-06-08,,,,,,,,,informal,,,A New LP-Bound in Multivariate Lipschitz Optimization: Application to Unconstrained and Linearly Constrained Problems and to Systems of Inequalities,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 94-08",1994,Ramón A. Feenstra|A. Lauren Crain,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Robotics|Deep learning|Data mining,reject,Ipsum est ut magnam non porro dolor.,accept,Sit dolorem dolore dolorem tempora.,Demo Paper,Human-computer interaction|High-performance computing|Cloud computing|Cybersecurity
480,482,Christopher Lusena|Eric Allender|Judy Goldsmith|Martin Mundhenk,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI99-25,2017-06-08,,,,,,,,,informal,,,Complexity of Finite-Horizon Markov Decision process Problems.,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 99-25",1999,Flordeliz Bugarin|Karl-Hans Bläsius,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Computer networks|Information theory|Natural language processing|Big data,accept,Labore amet adipisci porro velit quaerat.,accept,Quaerat aliquam quaerat ipsum porro.,Full Paper,Computer vision|Data mining|High-performance computing|Cryptography|Big data
481,483,Stasys Jukna,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI95-10,2017-06-08,,,,,,,,,informal,,,The Graph of Integer Multiplication is Hard for Read-k-Times Networks,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 95-10",1995,George Middendorf|Wei Chen,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Robotics|Quantum computing|Cybersecurity|Human-computer interaction|Artificial intelligence,accept,Labore neque sed neque porro dolor est.,accept,Quiquia amet neque numquam porro ut quisquam.,Full Paper,Cloud computing|Computational complexity|Quantum computing|Machine learning
482,484,Lothar Breuer,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI01-18,2017-06-08,,,,,,,,,informal,,,Two short notes,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 01-18",2001,Peter Gerstl|Carol R. Thrush,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Distributed computing|Computer networks|Data mining,accept,Voluptatem quisquam consectetur tempora aliquam ut.,reject,Non est velit adipisci adipisci numquam.,Short Paper,Algorithm analysis|Artificial intelligence|Cybersecurity|Information theory|Distributed computing
483,485,E. Levitin|Rainer Tichatschke,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI96-14,2017-06-08,,,,,,,,,informal,,,On Smoothing of Generalized max-Functions via epsilon-Regularization,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 96-14",1996,Pedro Ângelo|Vojtech Stehel,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Cloud computing|Artificial intelligence|Algorithm analysis|Deep learning|Data mining,reject,Amet eius dolor consectetur.,accept,Est est non amet etincidunt.,Short Paper,Distributed computing|Machine learning|Artificial intelligence|Big data
484,486,Anna Slobodová|Christoph Meinel,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI96-02,2017-06-08,,,,,,,,,informal,,,An Adequate Reducibility Concept for Problems Defined in Terms of Ordered Binary Decision Diagrams,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 96-02",1996,Bernd Sturmfels|Khaled Moustafa,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Shiau Hong Lim,Cryptography|Big data|Computer networks|Machine learning,accept,Porro quisquam quisquam magnam consectetur dolorem.,reject,Aliquam adipisci velit quaerat.,Short Paper,Computer graphics|Cryptography|Data mining
485,487,Hubertus Th. Jongen|Rainer Hettich,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI94-02,2017-06-08,,,,,,,,,informal,,,On Continuous Deformations of Semi-Infinite Optimization Problems,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 94-02",1994,Thomas Prescher 0002|John Tharakan,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Cryptography|Big data|Quantum computing|Robotics,reject,Dolorem aliquam numquam adipisci sit consectetur aliquam modi.,accept,Dolore quaerat amet eius modi aliquam ipsum magnam.,Full Paper,Computer graphics|Data mining|Robotics
486,488,Anna Slobodová|Christoph Meinel,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI98-25,2017-06-08,,,,,,,,,informal,,,Accelerating OBDD-Minimization by Means of Structural and Semantical Properties,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 98-25",1998,Arie Rip|Angel Peiró-Signes,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Robotics|Computer graphics|Computational complexity|Deep learning,accept,Sit eius sit sed.,reject,Ipsum neque aliquam quiquia labore velit.,Full Paper,Cryptography|Cloud computing|Robotics|Distributed computing|Natural language processing
487,489,Daniel Görgen|Matthias Transier|Peter Sturm 0001|Wolfgang Effelsberg,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI06-02,2018-07-11,,,,,,,,,informal,,,Distributed Script - A Mobile Application for Multi-hop Ad-hoc Networks,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 06-02",2006,Adèle Paul-Hus|Jim Gray 0001,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Deep learning|Information theory|Quantum computing,accept,Magnam ut eius dolorem etincidunt voluptatem.,accept,Consectetur dolorem neque quisquam quiquia tempora.,Short Paper,Algorithm analysis|Human-computer interaction|Cybersecurity
488,490,Aditya V. Nori|Helmut Seidl,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI02-17,2017-06-08,,,,,,,,,informal,,,On the Expressiveness of Tree Set Operators,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 02-17",2002,Marie-Sol Poirier|Claudia Mrotzek,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Natural language processing|Artificial intelligence|Robotics|Human-computer interaction,reject,Eius consectetur labore velit ut magnam quaerat.,accept,Neque ipsum dolore quisquam porro ut.,Short Paper,Distributed computing|High-performance computing|Cybersecurity|Data mining|Computational complexity
489,491,Anthony J. Hayter|Helmut Finner|Markus Roters,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI93-19,2017-06-08,,,,,,,,,informal,,,On the Joint Distribution Functions of Order Statistics with Reference to Step-up Multiple Test Procedures,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 93-19",1993,Amy Huang|Helmar Gust,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Cloud computing|Big data|Computational complexity|Data mining,reject,Sed modi est amet eius voluptatem amet labore.,reject,Tempora dolor neque eius labore modi aliquam adipisci.,Short Paper,Computer vision|Cloud computing|Computer graphics
490,492,Christoph Meinel|Thorsten Theobald,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI98-01,2017-06-08,,,,,,,,,informal,,,Ordered Binary Decision Diagrams and Their Significance in Computer-Aided Design of VLSI Circuits,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 98-01",1998,Daniel Genkin|Amin Asadi,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Shiau Hong Lim,Algorithm analysis|Distributed computing|Deep learning|Computer graphics|Machine learning,accept,Adipisci amet ipsum consectetur sed sed.,reject,Eius neque neque numquam ipsum quiquia.,Demo Paper,Deep learning|Information theory|Human-computer interaction|Cryptography
491,493,Helmut Seidl|Markus Müller-Olm,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI02-09,2017-06-08,,,,,,,,,informal,,,Polynomial Constants are Decidable,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 02-09",2002,Dan Perry|Shlomo Mark,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Quantum computing|Artificial intelligence|Deep learning|Natural language processing,reject,Sit adipisci etincidunt non quaerat ut aliquam.,reject,Porro dolorem eius modi.,Full Paper,Data mining|Quantum computing|Deep learning|Computer graphics
492,494,Dieter Baum,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI98-11,2017-06-08,,,,,,,,,informal,,,Spatial Generalization of BMAP's with Finite State Space,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 98-11",1998,Bernd Page|Tricia Bertram Gallant,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Shiau Hong Lim,Human-computer interaction|Cybersecurity|Robotics|Big data,reject,Amet ut porro numquam.,accept,Dolorem eius amet sit.,Short Paper,Human-computer interaction|High-performance computing|Computer vision|Algorithm analysis
493,495,Reiner Horst,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI96-06,2017-06-08,,,,,,,,,informal,,,On Generalized Bisection of N-Simplices,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 96-06",1996,Armando Segura-Naya|Richard Meissner,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Cloud computing|Computer graphics|Deep learning|Computer networks|Human-computer interaction,reject,Ut ipsum amet magnam ipsum modi quaerat ipsum.,reject,Tempora magnam ut modi dolor voluptatem tempora velit.,Demo Paper,Information theory|Quantum computing|Big data|Cloud computing
494,496,Nguyen V. Thoai|Reiner Horst,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI94-13,2017-06-08,,,,,,,,,informal,,,An Integer Concave Minimization Approach for the Minimum Concave Cost Capacitated Flow Problem on Networks,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 94-13",1994,William D. Lawson|Eran Klein,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Human-computer interaction|Computer networks|Algorithm analysis,accept,Tempora numquam aliquam etincidunt labore non.,reject,Dolorem eius aliquam non dolor.,Short Paper,Cryptography|Robotics|Deep learning|Computer vision|Human-computer interaction
495,497,Christoph W. Keßler,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI97-12,2017-06-08,,,,,,,,,informal,,,Practical PRAM Programming with Fork95 - A Tutorial,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 97-12",1997,Dines Bjørner|Maryam Alsadat Hashemipour,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Cybersecurity|Computer vision|Computational complexity|Distributed computing,reject,Eius velit magnam est.,reject,Aliquam ipsum porro modi velit numquam magnam.,Full Paper,Information theory|Data mining|Algorithm analysis|Computer networks|High-performance computing
496,498,Klaus Jansen,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI93-24,2017-06-08,,,,,,,,,informal,,,Scheduling and Related Graph Theoretical Problems,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 93-24",1993,Petra Steffens|Tenzin Wangmo,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Shiau Hong Lim,Cybersecurity|High-performance computing|Computational complexity,reject,Modi eius dolor dolor.,reject,Dolore velit quisquam quisquam neque dolore velit est.,Demo Paper,Computer networks|Computational complexity|Algorithm analysis
497,499,Peter Gritzmann|Victor Klee,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI96-25,2017-06-08,,,,,,,,,informal,,,Computational Convexity,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 96-25",1996,William Knight 0001|Shahrzad Zoghitavana,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Deep learning|Big data|Human-computer interaction,accept,Ut est porro porro ipsum velit aliquam.,accept,Dolor velit ipsum etincidunt ipsum ut tempora neque.,Demo Paper,Computational complexity|Distributed computing|Big data|Information theory
498,500,Richard Rödler,,,,,,,,,,,http://www.mathematik.uni-trier.de/preprints/About/FoMaInf_08.html,archive,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI99-08,2019-05-27,,,,,,,,,informal,,,Convergence of Disturbed Martingales and a Stochastic Model for Annuity Funds,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 99-08",1999,Aaron Pratt Shepherd|Raymond De Vries,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Robotics|Computer networks|Cloud computing|Artificial intelligence,reject,Amet neque sed labore numquam eius.,reject,Tempora amet non velit adipisci.,Demo Paper,Machine learning|Big data|Artificial intelligence|Cloud computing|Computer networks
499,501,Joachim Reiter|Klaus Jansen,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI96-13,2017-06-08,,,,,,,,,informal,,,Approximation Algorithms for Register Allocation,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 96-13",1996,Joseph Lee|Matthew A. Allison,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Stefan Lautenbacher,Distributed computing|Robotics|Computer networks|Computational complexity|Computer vision,reject,Consectetur ipsum non modi adipisci tempora.,accept,Voluptatem modi tempora quaerat.,Full Paper,Big data|Cybersecurity|Computer networks|Deep learning
500,502,Markus Roters,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI97-25,2017-06-08,,,,,,,,,informal,,,The Theory of Optimal Sampling in Continuous Time,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 97-25",1997,Lisa A. Thompson|Daniela Glavanicová,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Shiau Hong Lim,Computational complexity|Robotics|Deep learning|Cybersecurity|Big data,reject,Est eius tempora etincidunt aliquam sed numquam adipisci.,reject,Dolore consectetur magnam sit labore velit etincidunt voluptatem.,Short Paper,Information theory|Computer vision|Natural language processing
501,503,Rustam Mubarakzjanov,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI00-13,2017-06-08,,,,,,,,,informal,,,Lower Bounds for Randomized Branching Programs with a Big OBDD Part,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 00-13",2000,N. V. Koliev|Huda Fatima,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Cybersecurity|Computer graphics|Artificial intelligence|Cryptography,accept,Modi neque ipsum modi adipisci aliquam ut.,accept,Quiquia ipsum labore amet eius voluptatem.,Full Paper,Information theory|Robotics|Cybersecurity|Data mining|Big data
502,504,Ekkehard W. Sachs|Friedemann Leibfritz,,,,,,,,,,,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht",tr/trier/MI96-09,2017-06-08,,,,,,,,,informal,,,Inexact SQP Interior Point Methods and Large Scale Optimal Control Problems,,,,"Universität Trier, Mathematik/Informatik, Forschungsbericht 96-09",1996,Clyde Briant|Don Blair,Shiau Hong Lim|Stefan Lautenbacher|Sean Valles,Distributed computing|High-performance computing|Natural language processing,Sean Valles,Quantum computing|Computer graphics|Cryptography,accept,Consectetur quiquia est quisquam voluptatem velit.,reject,Dolore porro ipsum sit ipsum.,Demo Paper,Cybersecurity|Deep learning|Computer graphics|Big data|Data mining
