fullName
Reena Cheruvalath
Saptarshi Guha
Steven P. Crain
Yao-Nan Chen
Devorah Kletenik
Alex Krizhevsky
Hua Mao
Hélène Kirchner
R. Bharat Rao
Christos Dimitrakakis
Shukai Li
Andrew W. Moore 0001
Lucas Drumond
Qiang Yang 0001
Michael Fink 0002
Louis Dorard
Daniel Vainsencher
John D. Lafferty
Martin Jaggi
Christopher R. Dance
Stephen Lane
Wei Xiong Shang
Aleksandrs Slivkins
Jean-Claude Franchitti
Yin-he Jiang
Sinno Jialin Pan
Yichuan Tang
Valentin I. Spitkovsky
Branislav Kveton
Alessandro Rozza
Nick Mosdell
Hiroshi Mamitsuka
Joachim M. Buhmann
Alexandre Klementiev
Gert R. G. Lanckriet
Nanne van Noord
Sue Ann Hong
Cédric Archambeau
Vladimir Nikulin
Clément Levrard
Meihong Wang
Masakazu Ishihata
Varun Kanade
Abdeslam Boularias
Yuki Yamagishi
Jacob Eisenstein
Jeff M. Phillips
Thomas Furmston
Luca Bogoni
Terry Windeatt
Radhendushka Srivastava
Raj Tewari
Mikel Luján
Vladimir Martyanov
Alexander Lorbert
Bharath K. Sriperumbudur
Frits W. Vaandrager
Kevin Small
Konstantinos Karydis
Qinfeng Shi
Charles Blundell
Jo-Anne Ting
François Laviolette
Zhijian Ou
Blaz Fortuna
Zaïd Harchaoui
Sofia Triantafilou
Adityanand Guntuboyina
Volker Roth 0001
Anil K. Seth
Nevena Lazic
Sajid M. Siddiqi
Hongtao Lu
Shai Shalev-Shwartz
John A. Quinn
Ole J. Mengshoel
Amit Gruber
Yu-Cheng Chou
Yang Xu 0023
Manuel Davy
Jens Forster
Igor Kuralenok
Sanjay Chawla
Ayan Acharya
Sundararajan Sellamanickam
Naonori Ueda
Harald Steck
S. Sathiya Keerthi
S. V. N. Vishwanathan
Ewout van den Berg
Luis E. Ortiz
Csaba Szalai
Miguel Á. Carreira-Perpiñán
Olivier Cappé
Nicolas Vayatis
Mohammad Emtiyaz Khan
Matthias Blume
Gowtham Bellala
Seungjin Choi
Stephen Coggeshall
Nicole Krämer 0002
Andreas Argyriou
Cheng Soon Ong
Jean-Philippe Pellet
Abhradeep Thakurta
Chi-Jen Lu
Hanna M. Wallach
Tsung-Hsien Chiang
Claudia Eckert 0001
J. Xie
Sébastien Bubeck
Simon Günter
Rengül Çetin-Atalay
Sofie Van Landeghem
Zheng Zhao
Rong Jin 0001
Huan Wang
Eugene Weinstein
Lin Shang 0001
Hossein Azari Soufiani
David Duvenaud
Franziska Meier
Manfred Börkel
Michael McCann
Bing Bai
Geoffrey J. Gordon
James R. Foulds
Neil D. Lawrence
Matthew Hoffman 0002
Pedro A. Valdés-Sosa
Xiaojin Zhu 0001
Daniel A. Spielman
Yutian Chen
Olivier Delalleau
Stephen McCracken
Yu Xin
Milos Hauskrecht
Prem Melville
Frank P. Ferrie
Ingo Steinwart
Yuan (Alan) Qi
Ansaf Salleb-Aouissi
Xinghua Shi
Jagannathan Srinivasan
Hui Xiong 0001
Changhe Yuan
Peter D. Grünwald
Pieter van Dorst
Yoav Haimovitch
Jed Irvine
Sainbayar Sukhbaatar
Chihiro Shibata
Hachem Kadri
Ashkan Jafarpour
Amos J. Storkey
Naresh Manwani
Ricard Gavaldà
Wei Chu
Marcus A. Brubaker
Jian Peng 0001
Christophe Salperwyck
Kokou Yétongnon
Angus MacLellan
Jian Zhang 0003
Tristan Fletcher
Damien Ernst
Giorgio Giacinto
Vladimir Samoilov
Constantin Comendant
Joseph K. Bradley
Dieter Landes
Suresh K. Bhavnani
Pushmeet Kohli
Stefan Schaal
Abhishek Jaiantilal
Jurgen Van Gael
Peter A. Flach
Marine Campedel
Kristian Kersting
Xing Xu
David J. Weiss
Qun Song 0003
Liang Tian
John Aldo Lee
Guha Balakrishnan
José L. Balcázar
Shiming Xiang
Larry A. Wasserman
Edward Y. Chang
Andrew G. Howard
James Martens
Julie Carreau
Barnabás Póczos
Alexander Ihler
Dazhuo Li
Ali Jalali
Tijl De Bie
Zhuoran Wang
Nadine Chlass
Razvan Pascanu
Hao Shen
Chris Lovell
Kedar Bellare
Hannes Nickisch
Peter L. Bartlett
Ingrid Daubechies
John P. Cunningham
Harri Valpola
Timothy A. Gonsalves
Sudipto Guha
Nikhil Rao 0001
Ramesh Subramanian
Andrew McGregor 0001
Margareta Ackerman
J. Zico Kolter
James Cook
Jaakko Riihimäki
Pravesh Kothari
Sam T. Roweis
Chien-Chih Wang
Saatviga Sudhahar
Oriol Vinyals
Lucian Busoniu
Roland Groz
Dafna Shahaf
Bharat Rao
Yu-Hong Dai
Jianxin Wu 0001
Vincent Conitzer
Peter Grünwald
Liang Xiang
Bernard De Baets
Pascal Poupart
Olivier Teytaud
Rongjing Xiang
Simon P. Wilson 0001
Kirill Trapeznikov
Lehel Csató
Ian M. Molloy
Galen Andrew
Satoru Iwata 0001
M. Jayasrirani
Weijia Wang 0001
Haiyan Ye
Shirley Browne
Geoffrey J. McLachlan
Yuyang Wang
Joshua B. Tenenbaum
Balaji Lakshminarayanan
Johannes Laudenberg
Feng Liang
Zerrin Isik
Alexander Ropson
Honglak Lee
Raphaël Bailly
Ryo Yoshinaka
Ping He
Joachim Giesen
Abdel-rahman Mohamed
Liheng Xu
Marco Loog
Daniel Povey
Chun-Nam Yu
Tie-Yan Liu
Jan Saputra Müller
Kenji Fukumizu
Manfred Opper
Viktoria Rojkova
Gábor Hullám
Ilias N. Flaounas
Yoshua Bengio
Tapio Salakoski
Brendan J. Frey
Gregory Z. Grudic
Joseph Naor
Mikhail Belkin
James Bailey 0001
Vikash Mansinghka 0001
Yann Dupont
Sergey M. Plis
David Buchman
Kohei Hatano
Xiaotong Shen
Dahua Lin
David P. Helmbold
Pierre Geurts
Rahul Garg 0001
Zhengdong Lu
Béatrice Laurent
Liang Xiong
Nakul Verma
Marko Toplak
Magnus Rattray
Pavlo Golik
Ning Situ
Carlos Eduardo Scheidegger
Alan Johnston
Raphaël Féraud
Hui Guo
Igino Corona
Shuicheng Yan
Parham Aarabi
Michel Verleysen
Florence Forbes
Vincent Q. Vu
Susan A. Murphy
Péter Csizsek
Sumit Chopra
Marc'Aurelio Ranzato
David Poole 0001
Philipp Hennig
Matteo Santoro
Isabelle Guyon
Lars Schmidt-Thieme
Hiroki Nakayama
Babak Nadjar Araabi
András Falus
Xiaoli Z. Fern
Heng Luo
Paul A. Viola
Victor Eruhimov
Neale Gibson
Wei Gao 0008
Ryoma Kawajiri
Yasuo Tabei
Paul Sajda
Koji Tsuda
Benjamin X. Hall
Héctor Corrada Bravo
Jérémie Mary
Tom M. Mitchell
Steven J. Lee
Ricardo Bezerra de Andrade e Silva
Zhuang Wang
Louis Wehenkel
Martha White
Chuanren Liu
André Elisseeff
Bernardino Romera-Paredes
Liva Ralaivola
Kornelius Rohmeyer
Olivier Collier
Mingjun Zhong
Dominik Seuß
Marc Henniges
Aleksey Polovinkin
Yann LeCun
Pham Ngoc Khanh
Daniel Stöckel
Gavin C. Cawley
Mark D. Plumbley
Amaury Habrard
James Clifford
